MAL11E,CBA1R8C1
CCK955,CCK 600
OT,OT
,nal1200
,CCK1500
,
81.67452,144.1317
81.69737,144.65943
81.86548,144.96057
81.90751,145.07331
81.92776,145.34335
81.95723,145.48437
82.04696,145.52243
82.31657,145.66328
82.58979,146.17667
82.6476,147.14939
82.68288,147.19658
82.94975,147.43264
82.96886,147.71521
83.1092,147.75213
83.1302,148.19584
83.19529,148.63188
83.58756,148.76313
83.62238,149.19586
83.77247,149.43479
84.08581,149.50021
84.57158,149.57123
84.85217,151.18762
85.35625,151.34945
85.55436,151.54425
85.57684,151.6154
85.75725,152.31021
86.12685,152.4099
86.72876,152.66172
86.86388,152.73298
86.964,152.89149
87.01807,152.92599
87.15573,153.00851
87.20032,153.08545
87.30689,153.12814
87.34664,153.18035
87.37154,153.49787
87.4085,153.66888
87.60354,153.73404
88.75833,153.96408
89.04205,154.10371
89.22415,154.16595
89.24685,154.32878
89.66238,154.6463
89.71811,155.07611
89.73443,155.55697
89.76119,155.74138
90.4931,156.06195
90.82054,156.72749
91.13721,156.82014
91.16645,158.08737
91.18358,158.12492
91.20931,158.18618
91.22672,158.67541
91.69334,158.93637
91.77626,159.39415
91.87336,159.45776
91.88969,160.30181
92.30206,161.0284
92.59323,161.13637
92.61243,161.49683
93.12407,161.83857
93.18424,163.5088
93.9496,163.7618
94.01012,164.04914
94.05977,164.19122
94.30654,164.29572
94.36997,164.43912
94.62137,164.60465
94.85435,164.94565
94.86878,165.20595
94.91139,166.42045
94.96243,166.52545
95.42354,166.55989
95.45586,166.60315
95.46326,166.92797
95.57958,167.16415
95.64274,167.5747
95.66699,168.48442
95.73952,168.72744
95.81292,168.76867
96.06362,169.18802
96.28515,169.63713
96.44372,169.65833
96.6953,169.91035
97.0181,170.43094
97.26811,170.89599
97.37226,171.42185
97.90804,171.50507
98.0591,171.62298
98.0843,171.74489
98.12341,171.83443
98.65253,172.23231
98.67572,172.57316
98.68897,172.78349
98.9518,173.05656
99.00034,173.70259
99.03507,173.84081
99.85424,174.39114
99.91815,174.62538
99.9409,174.76144
100.02909,174.85149
100.15437,174.99007
100.23623,175.05719
100.42377,175.50336
100.46505,177.48549
100.87392,177.64095
101.38839,177.92299
101.77966,177.95378
101.8496,178.1584
101.87251,178.24089
101.92339,179.22418
102.24437,179.2796
102.65478,179.31857
102.76555,179.34939
102.86586,179.42792
102.9279,179.48381
102.94033,179.90908
103.22738,180.17713
103.34689,181.41716
103.38339,181.46309
103.44626,182.04662
103.81091,182.24972
103.84116,182.42331
103.87552,182.55503
104.49217,182.64212
104.53993,182.69722
104.5813,182.96084
104.6156,183.01931
105.38182,183.07437
105.61581,183.1137
105.65741,183.27167
105.6925,183.36057
105.87332,183.6728
105.96435,184.02723
106.37055,184.08772
106.56644,184.39487
106.58769,184.89708
106.68895,185.92113
106.94176,186.06827
107.16112,186.09436
107.49003,186.65304
107.51742,187.15662
108.05629,187.26301
108.12184,187.34058
108.30575,187.3861
108.35308,187.4371
108.37811,187.78627
108.4231,188.35075
108.44327,188.44486
108.47348,189.37435
108.51367,191.98827
108.5507,192.17101
108.61003,192.53421
109.59681,192.61502
109.63892,192.70446
109.91323,192.97019
110.41734,193.51081
110.54407,194.31963
110.55632,194.51571
110.59769,194.78442
110.6407,194.82927
111.11774,194.99431
111.45693,195.30092
111.55341,195.95583
111.58738,196.72821
111.61783,196.86949
111.65449,197.93679
111.794,198.18115
111.79621,198.44332
111.90948,198.47842
111.95339,199.05021
112.17086,199.14378
112.40584,199.43613
112.5883,200.47179
113.28795,200.73022
113.30986,200.8347
113.48373,200.87771
113.53465,201.15818
113.57425,201.40567
114.40909,201.45682
114.52861,202.47221
114.57843,202.55733
114.73995,202.88219
114.85865,203.17483
114.88786,203.24509
115.01608,203.92816
115.11238,204.20217
115.58806,204.23435
115.93771,204.27473
115.97393,204.82214
116.02481,204.91297
116.09036,205.28341
116.14399,205.30648
116.23271,205.63216
116.63094,205.67082
116.66828,206.9365
116.75546,207.14986
116.97598,207.96555
117.07846,208.00018
117.62613,208.23912
117.72543,208.4087
117.78326,208.8694
117.82089,209.10472
118.35714,209.50321
118.37894,209.53421
118.7093,209.57021
118.75715,210.00882
118.79793,210.08675
118.87631,210.13422
119.03642,210.17466
119.35289,210.24303
119.47132,211.7874
119.59315,211.82778
119.97391,212.19193
120.20352,212.39741
120.23226,212.7241
120.27015,213.25133
120.95179,213.43684
121.02715,214.05079
121.14483,214.56598
121.17281,214.61413
121.23739,214.68019
121.47829,214.7754
121.8383,215.12749
121.93558,215.16475
122.13568,215.45009
122.22447,215.49389
122.39126,215.55749
122.63318,215.67303
122.86322,215.71667
123.4533,215.94329
123.781,217.09067
123.88843,217.25803
123.92154,217.35414
124.07198,217.39086
124.11754,217.48957
124.62153,217.66471
124.73166,218.52622
124.78747,218.64302
124.94436,218.77417
125.16935,218.9701
125.36444,219.3325
125.6621,219.41924
125.84418,219.95345
125.93504,220.56666
126.02534,220.59979
126.36429,220.65626
126.43797,220.7642
126.52606,221.52861
126.5698,221.80069
126.67659,221.86487
127.45398,222.07836
127.69628,222.28316
127.75297,222.39059
128.59383,222.52257
128.76785,223.00155
128.85003,223.24842
129.40781,223.28572
129.67254,223.33663
129.78234,224.00656
129.82416,224.07124
130.1192,224.33884
130.21795,224.49064
130.26652,224.88952
130.30573,224.93122
130.35968,225.32222
130.39523,225.42601
130.63189,225.50555
130.65292,225.56801
130.66864,226.14615
131.05608,226.86264
131.30695,226.88771
131.3725,227.59407
131.59231,227.96635
131.63027,228.0117
131.89065,228.3164
132.00761,228.36528
132.14741,228.40213
132.20006,228.53461
132.22875,228.55419
132.85583,228.68506
133.0114,230.40604
133.27154,230.80037
133.39121,230.97475
133.45506,231.17007
133.84425,232.00542
134.1022,232.06388
134.13282,232.16501
134.2113,232.9245
134.21187,233.05391
134.28426,233.12351
134.60112,233.22035
134.68782,233.42554
